nD,tD,nB,tB,nA,tA
184654,184.6525,184600,184.599,184768,184.7665
185409,185.4075,185353,185.3515,185494,185.493
186214,186.213,186160,186.159,186305,186.304
187035,187.0335,186985,186.9835,187124,187.123
187919,187.9175,187865,187.864,188011,188.01
188819,188.8175,188758,188.7565,188903,188.9015
189672,189.671,189616,189.6145,189760,189.759
190507,190.5055,190453,190.4515,190591,190.59
191303,191.302,191249,191.2475,191389,191.388
192117,192.1155,192062,192.061,192205,192.2035
192907,192.906,192852,192.8505,192990,192.9885
193729,193.7275,193671,193.6695,193815,193.8135
194531,194.53,194478,194.4765,194612,194.611
195321,195.3195,195264,195.263,195404,195.403
196091,196.09,196043,196.042,196184,196.1825
196848,196.8465,196795,196.7935,196930,196.9285
197578,197.577,197524,197.523,197663,197.6615
198316,198.315,198262,198.261,198396,198.3945
199074,199.073,199017,199.016,199154,199.153
199858,199.857,199808,199.807,199945,199.9435
200648,200.647,200591,200.59,200729,200.7275
201477,201.476,201419,201.418,201561,201.5595
202319,202.3175,202264,202.2625,202401,202.4
203131,203.13,203075,203.0735,203219,203.2175
203972,203.971,203915,203.914,204059,204.0575
204811,204.81,204753,204.752,204894,204.893
205645,205.644,205589,205.5875,205733,205.7315
206504,206.503,206449,206.448,206590,206.5885
207317,207.3155,207263,207.2615,207400,207.3985
208146,208.1445,208089,208.0875,208229,208.228
208963,208.962,208909,208.908,209047,209.046
209801,209.7995,209746,209.7445,209887,209.8855
210649,210.6475,210593,210.592,210732,210.7305
211485,211.4835,211435,211.4335,211579,211.5775
212374,212.373,212320,212.3185,212468,212.4665
213269,213.268,213213,213.2115,213353,213.3515
214146,214.1445,214087,214.0855,214232,214.2305
215009,215.0075,214950,214.9485,215091,215.0895
215831,215.8295,215779,215.7775,215919,215.9175
216686,216.6845,216631,216.6295,216775,216.774
217541,217.54,217486,217.4845,217627,217.6255
218396,218.395,218339,218.338,218485,218.484
219227,219.226,219173,219.172,219311,219.31
220031,220.03,219976,219.975,220116,220.115
220880,220.8785,220822,220.821,220965,220.9635
221704,221.703,221651,221.65,221794,221.7925
222522,222.5205,222466,222.4645,222610,222.609
223362,223.3605,223304,223.303,223450,223.4485
224173,224.172,224122,224.121,224259,224.258
225019,225.0175,224964,224.9625,225103,225.102
225833,225.832,225784,225.7825,225916,225.915
226622,226.621,226565,226.5635,226704,226.7025
227445,227.4435,227387,227.3855,227527,227.526
228272,228.2705,228213,228.212,228350,228.349
229093,229.0915,229038,229.0365,229176,229.175
229942,229.941,229885,229.8835,230022,230.021
230752,230.7505,230696,230.6945,230832,230.8305
231590,231.5885,231535,231.5335,231673,231.6715
232426,232.425,232370,232.369,232505,232.5035
233228,233.2265,233172,233.1705,233308,233.307
234036,234.0345,233981,233.98,234117,234.116
234794,234.7925,234740,234.739,234873,234.8715
235564,235.5625,235508,235.507,235643,235.642
236343,236.3415,236289,236.2875,236423,236.422
237116,237.1145,237058,237.0565,237196,237.195
237897,237.8955,237845,237.8435,237982,237.9805
238690,238.689,238637,238.6355,238768,238.7665
239496,239.495,239443,239.442,239578,239.5765
240337,240.3355,240285,240.2835,240408,240.4065
241165,241.1635,241111,241.11,241244,241.243
241998,241.997,241941,241.9395,242079,242.078
242787,242.786,242728,242.7265,242897,242.896
243620,243.6185,243550,243.549,243725,243.724
244481,244.48,244422,244.421,244563,244.562
245307,245.306,245254,245.2525,245392,245.3905
246108,246.107,246056,246.0545,246194,246.1925
246874,246.873,246819,246.818,246957,246.956
247649,247.648,247594,247.593,247741,247.7395
248442,248.441,248385,248.3835,248527,248.526
249224,249.223,249175,249.1735,249310,249.309
250006,250.0045,249948,249.9465,250095,250.0935
250836,250.8345,250778,250.7765,250924,250.923
251678,251.677,251621,251.62,251762,251.761
252498,252.4965,252444,252.4425,252586,252.5845
253325,253.324,253273,253.2715,253415,253.4135
254160,254.1585,254108,254.1065,254245,254.2435
254954,254.9525,254901,254.8995,255041,255.04
255769,255.768,255713,255.712,255858,255.8565
256588,256.587,256530,256.5295,256672,256.6705
257393,257.392,257340,257.339,257486,257.485
258268,258.267,258213,258.2115,258362,258.361
259141,259.1395,259081,259.0795,259219,259.218
259954,259.9525,259898,259.8975,260044,260.0425
260800,260.7985,260741,260.7395,260893,260.8925
261622,261.621,261566,261.565,261707,261.706
262429,262.4275,262380,262.3785,262622,262.621
263269,263.268,263211,263.21,263365,263.3635
264099,264.0975,264047,264.046,264188,264.187
264944,264.9425,264794,264.7925,265037,265.0355
